iter	Passed	Remaining
438	1366	1746
439	1370	1744
440	1372	1740
441	1375	1736
442	1378	1732
443	1380	1728
444	1384	1726
445	1387	1723
446	1391	1721
447	1396	1720
448	1400	1718
449	1403	1715
450	1407	1712
451	1409	1709
452	1412	1705
453	1416	1703
454	1419	1700
455	1422	1697
456	1425	1693
457	1428	1689
458	1431	1687
459	1435	1685
460	1439	1682
461	1442	1680
462	1445	1676
463	1449	1674
464	1454	1673
465	1457	1670
466	1460	1666
467	1464	1664
468	1468	1662
469	1470	1658
470	1473	1654
471	1475	1650
472	1478	1647
473	1482	1644
474	1484	1641
475	1487	1637
476	1489	1633
477	1492	1630
478	1497	1628
479	1500	1625
480	1503	1621
481	1505	1617
482	1507	1614
483	1512	1612
484	1515	1609
485	1517	1605
486	1520	1601
487	1522	1597
488	1525	1593
489	1529	1591
490	1531	1587
491	1534	1584
492	1536	1580
493	1539	1576
494	1542	1573
495	1545	1570
496	1548	1566
497	1550	1563
498	1553	1559
499	1555	1555
500	1560	1554
501	1563	1551
502	1566	1547
503	1568	1543
504	1571	1540
505	1575	1537
506	1578	1534
507	1581	1531
508	1584	1528
509	1586	1524
510	1589	1521
511	1593	1518
512	1596	1515
513	1598	1511
514	1601	1508
515	1604	1504
516	1609	1503
517	1611	1499
518	1614	1496
519	1617	1492
520	1620	1489
521	1624	1487
522	1627	1483
523	1629	1480
524	1632	1476
525	1635	1474
526	1638	1470
527	1641	1467
528	1644	1464
529	1646	1460
530	1650	1457
531	1652	1454
532	1656	1451
533	1659	1448
534	1662	1444
535	1665	1441
536	1667	1438
537	1671	1435
538	1674	1432
539	1677	1428
540	1680	1425
541	1682	1421
542	1684	1418
543	1687	1414
544	1690	1411
545	1692	1407
546	1695	1404
547	1698	1400
548	1700	1397
549	1704	1394
550	1707	1391
551	1710	1388
552	1713	1385
553	1716	1381
554	1719	1378
555	1722	1375
556	1726	1372
557	1729	1370
558	1732	1366
559	1739	1366
560	1744	1365
561	1749	1363
562	1754	1361
563	1757	1358
564	1759	1354
565	1762	1351
566	1766	1348
567	1770	1346
568	1773	1343
569	1775	1339
570	1778	1336
571	1781	1332
572	1785	1330
573	1787	1326
574	1790	1323
575	1792	1319
576	1795	1316
577	1799	1313
578	1802	1310
579	1804	1306
580	1807	1303
581	1810	1300
582	1812	1296
583	1816	1294
584	1819	1290
585	1822	1287
586	1824	1283
587	1827	1280
588	1830	1277
589	1834	1274
590	1837	1271
591	1840	1268
592	1844	1265
593	1848	1263
594	1851	1260
595	1853	1256
596	1856	1253
597	1859	1250
598	1863	1247
599	1866	1244
600	1869	1241
601	1872	1238
602	1875	1234
603	1879	1232
604	1882	1229
605	1885	1225
606	1888	1222
607	1890	1219
608	1893	1215
609	1898	1213
610	1902	1211
611	1905	1207
612	1907	1204
613	1912	1202
614	1915	1199
615	1919	1196
616	1922	1193
617	1924	1189
618	1928	1186
619	1931	1183
620	1933	1180
621	1936	1176
622	1938	1173
623	1942	1170
624	1949	1169
625	1956	1168
626	1961	1166
627	1964	1163
628	1967	1160
629	1969	1156
630	1972	1153
631	1978	1151
632	1984	1150
633	1987	1147
634	1990	1144
635	1994	1141
636	1997	1138
637	1999	1134
638	2002	1131
639	2005	1128
640	2008	1125
641	2012	1122
642	2015	1118
643	2018	1115
644	2020	1112
645	2024	1109
646	2028	1106
647	2032	1103
648	2035	1100
649	2038	1097
650	2042	1094
651	2046	1092
652	2049	1089
653	2053	1086
654	2057	1083
655	2060	1080
656	2062	1076
657	2065	1073
658	2067	1070
659	2071	1067
660	2076	1064
661	2080	1062
662	2086	1060
663	2089	1057
664	2093	1054
665	2095	1051
666	2098	1047
667	2101	1044
668	2106	1042
669	2109	1038
670	2112	1035
671	2114	1032
672	2118	1029
673	2122	1026
674	2126	1024
675	2129	1020
676	2132	1017
677	2136	1014
678	2140	1011
679	2144	1008
680	2146	1005
681	2149	1002
682	2155	1000
683	2159	997
684	2162	994
685	2165	991
686	2169	988
687	2172	985
688	2176	982
689	2179	979
690	2182	975
691	2186	973
692	2190	970
693	2193	967
